key_id,Title,Relevance Score,Reasoning,Methods,Technologies,Automated Manufacturing Level,Negatives Found,Include/Exclude,Your Notes,EID,Year
2025_a_flexible_job_shop_scheduling_method_based_on_heterogeneous_disjunctive_graph_and_deep_reinforcement_learning,A flexible job shop scheduling method based on heterogeneous disjunctive graph and deep reinforcement learning,++,Core tech (9) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"feature extraction, model based, optimization, ppo, reinforcement learning","agv, agvs, machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105008125683,2025
2025_demand-driven_hierarchical_integrated_planning-scheduling_control_for_a_mobile_robot-operated_flexible_smart_manufacturing_system,Demand-driven hierarchical integrated planning-scheduling control for a mobile robot-operated flexible smart manufacturing system,++,Core tech (9) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"markov decision process, marl, mdp, multi-agent reinforcement learning, policy gradient","reinforcement learning, robot",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-86000627993,2025
2025_toward_the_theoretical_foundations_of_industry_6.0:_a_framework_for_ai-driven_decentralized_manufacturing_control,Toward the Theoretical Foundations of Industry 6.0: A Framework for AI-Driven Decentralized Manufacturing Control,++,Core tech (4) + manufacturing (11) + strong decision or scheduling/simulation/robotics signal,,"artificial intelligence, cyber physical system, internet of things",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-105020191190,2025
2025_optimizing_markov_decision_process_state_design_for_deep_reinforcement_learning_manufacturing_scheduling_using_bayesian_optimization,Optimizing Markov decision process state design for deep reinforcement learning manufacturing scheduling using Bayesian optimization,++,Core tech (7) + manufacturing (12) + strong decision or scheduling/simulation/robotics signal,"bayesian optimization, markov decision process, optimization, reinforcement learning, supervised learning","deep learning, machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105019746248,2025
2025_inventory_routing_problem_of_automotive_parts_considering_time-varying_demands:_a_machine_learning_enhanced_branch-and-price_approach,Inventory routing problem of automotive parts considering time-varying demands: A machine learning enhanced branch-and-price approach,++,Core tech (5) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,,machine learning,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-105010863924,2025
2025_a_matheuristic_method_for_the_automated_guided_vehicle_scheduling_problem_with_flexible_charging_and_job_release,A matheuristic method for the automated guided vehicle scheduling problem with flexible charging and job release,++,Core tech (3) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,,"agv, agvs",Factory,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105010565344,2025
2025_deep_reinforcement_learning_for_data-driven_scheduling_in_multi-variety_and_small-batch_flexible_job_shops:_integrating_fluid_models_for_enhanced_optimization,Deep reinforcement learning for data-driven scheduling in multi-variety and small-batch flexible job shops: Integrating fluid models for enhanced optimization,++,Core tech (14) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"deep q-network, optimization, reinforcement learning","data driven, data-driven, deep learning, internet of things, iot, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105010061695,2025
2025_optimization_scheduling_of_dynamic_industrial_systems_based_on_reinforcement_learning,Optimization Scheduling of Dynamic Industrial Systems Based on Reinforcement Learning,++,Core tech (9) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"feature engineering, feature extraction, optimization, policy gradient, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105017225608,2025
2025_cognitive_digital_twin_for_multiobjective_production_scheduling,Cognitive Digital Twin for Multiobjective Production Scheduling,++,Core tech (7) + manufacturing (15) + strong decision or scheduling/simulation/robotics signal,"optimization, simulation","analytics, digital twin",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105013322768,2025
2025_flexible_job_shop_scheduling_based_on_learnable_graph_convolutional_attention_networks_and_reinforcement_learning,Flexible job shop scheduling based on learnable graph convolutional attention networks and reinforcement learning,++,Core tech (7) + manufacturing (12) + strong decision or scheduling/simulation/robotics signal,"feature extraction, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105013236595,2025
2025_multi-agent_cooperative_multi-network_group_framework_for_energy-efficient_distributed_fuzzy_flexible_job_shop_scheduling_problem,Multi-agent cooperative multi-network group framework for energy-efficient distributed fuzzy flexible job shop scheduling problem,++,Core tech (5) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"dqn, markov decision process, multi-agent reinforcement learning","iiot, internet of things, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105008932561,2025
2025_deep_reinforcement_learning_approach_for_a_dynamic_flexible_job_shop_problem_with_sequence_dependent_setup_times,Deep reinforcement learning approach for a dynamic flexible job shop problem with sequence dependent setup times,++,Core tech (4) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,"actor-critic, deep q-network, markov decision process, optimization, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105007793415,2025
2025_integrated_heterogeneous_graph_and_reinforcement_learning_enabled_efficient_scheduling_for_surface_mount_technology_workshop,Integrated heterogeneous graph and reinforcement learning enabled efficient scheduling for surface mount technology workshop,++,Core tech (6) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"federated learning, graph neural network, reinforcement learning","machine learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85219505408,2025
2025_research_on_a_multi-agent_job_shop_scheduling_method_based_on_improved_game_evolution,Research on a Multi-Agent Job Shop Scheduling Method Based on Improved Game Evolution,++,Core tech (2) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"genetic algorithm, optimization, particle swarm optimization, pso",agv,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105014460060,2025
2025_generating_textual_explanations_for_scheduling_systems_leveraging_the_reasoning_capabilities_of_large_language_models,Generating textual explanations for scheduling systems leveraging the reasoning capabilities of large language models,++,Core tech (4) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"few-shot learning, gpt",artificial intelligence,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105002742546,2025
2025_ai-driven_data_analytics_for_enhanced_mass_customization_in_production,AI-Driven Data Analytics for Enhanced Mass Customization in Production,++,Core tech (6) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,k-means,"analytics, artificial intelligence, machine learning",Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105018795213,2025
2025_dynamic_multi-objective_flexible_job-shop_scheduling_via_dynamic_dual_attention_network-based_deep_reinforcement_learning,Dynamic multi-objective flexible job-shop scheduling via dynamic dual attention network-based deep reinforcement learning,++,Core tech (6) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"metaheuristic, multi-agent reinforcement learning, optimization, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105010033422,2025
2025_deep_reinforcement_learning_algorithm_incorporating_problem_characteristics_for_dynamic_multi-objective_permutation_flow-shop_scheduling_problem,Deep reinforcement learning algorithm incorporating problem characteristics for dynamic multi-objective permutation flow-shop scheduling problem,++,Core tech (7) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"deep q-network, optimization, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105004994644,2025
2025_efjsp-ibdr:_energy-efficient_flexible_job_shop_scheduling_under_incentive-based_demand_response_via_graph_reinforcement_learning_with_dual_attention_mechanism,EFJSP-IBDR: Energy-efficient flexible job shop scheduling under incentive-based demand response via graph reinforcement learning with dual attention mechanism,++,Core tech (5) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"attention mechanism, graph neural network, markov decision process, mdp, optimization, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105002013867,2025
2025_solving_industrial_chain_job_scheduling_problems_through_a_deep_reinforcement_learning_method_with_decay_strategy,Solving industrial chain job scheduling problems through a deep reinforcement learning method with decay strategy,++,Core tech (6) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"optimization, ppo, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85216311237,2025
2025_a_self-imitation_learning_approach_for_scheduling_evaporation_and_encapsulation_stages_of_oled_display_manufacturing_systems,A self-imitation learning approach for scheduling evaporation and encapsulation stages of OLED display manufacturing systems,++,Core tech (3) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85210372182,2025
2025_modelling_with_neural_networks_and_time-series_forecasting_inventory_control_and_cost_reduction_in_supply_chain_process,Modelling with Neural Networks and Time-Series Forecasting Inventory Control and Cost Reduction in Supply Chain Process,++,Core tech (2) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"forecasting, time-series",neural network,Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105005104712,2025
2025_self-learning_brainstorm_optimization_for_synchronization_of_operations_and_maintenance_toward_dual_resource-constrained_flexible_job_shops,Self-learning brainstorm optimization for synchronization of operations and maintenance toward dual resource-constrained flexible job shops,++,Core tech (2) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"k-means, optimization, q-learning, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105004745506,2025
2025_production-logistics_collaborative_scheduling_in_dynamic_flexible_job_shops_using_nested-hierarchical_deep_reinforcement_learning,Production-logistics collaborative scheduling in dynamic flexible job shops using nested-hierarchical deep reinforcement learning,++,Core tech (4) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"optimization, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85219424047,2025
2025_dual_operation_aggregation_graph_neural_networks_for_solving_flexible_job-shop_scheduling_problem_with_reinforcement_learning,Dual Operation Aggregation Graph Neural Networks for Solving Flexible Job-Shop Scheduling Problem with Reinforcement Learning,++,Core tech (5) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"gnn, graph neural network, optimization, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105005139649,2025
2025_a_multi-trigger_mechanism_design_for_rescheduling_decision_assistance_in_smart_job_shops_based_on_machine_learning,A Multi-Trigger Mechanism Design for Rescheduling Decision Assistance in Smart Job Shops Based on Machine Learning,++,Core tech (3) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"multilayer perceptron, optimization",machine learning,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-86000805789,2025
2025_dynamic_scheduling_for_multi-objective_flexible_job_shop_via_deep_reinforcement_learning,Dynamic scheduling for multi-objective flexible job shop via deep reinforcement learning,++,Core tech (5) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"markov decision process, optimization, reinforcement learning, representation learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85215768180,2025
2025_applying_decision_transformers_to_enhance_neural_local_search_on_the_job_shop_scheduling_problem,Applying Decision Transformers to Enhance Neural Local Search on the Job Shop Scheduling Problem,++,Core tech (4) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,"optimization, reinforcement learning, transformer","machine learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105001161129,2025
2025_smart_scheduling_of_hanging_workshop_via_digital_twin_and_deep_reinforcement_learning,Smart scheduling of hanging workshop via digital twin and deep reinforcement learning,++,Core tech (9) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"graph neural network, markov decision process, mdp, optimization, ppo, reinforcement learning","digital twin, neural network, reinforcement learning",Factory,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105001075091,2025
2025_a_multi-action_deep_reinforcement_learning_based_on_bilstm_for_flexible_job_shop_scheduling_problem_with_tight_time,A Multi-Action Deep Reinforcement Learning Based on BiLSTM for Flexible Job Shop Scheduling Problem with Tight Time,++,Core tech (6) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,"markov decision process, mdp, optimization, ppo, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85219624270,2025
2025_optimizing_dynamic_flexible_job_shop_scheduling_using_an_evolutionary_multitask_optimization_framework_and_genetic_programming,Optimizing Dynamic Flexible Job Shop Scheduling Using an Evolutionary Multitask Optimization Framework and Genetic Programming,++,Core tech (3) + manufacturing (12) + strong decision or scheduling/simulation/robotics signal,"gp, optimization, reinforcement learning","data-driven, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85218746722,2025
2025_adapted_q-learning_for_the_blocking_job_shop_scheduling_problem,Adapted Q-Learning for the Blocking Job Shop Scheduling Problem,++,Core tech (6) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"federated learning, markov decision process, optimization, q-learning, reinforcement learning","machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85218470606,2025
2025_discrete_event_simulation-driven_method_solving_permutation_flowshop_scheduling_problem_in_digital_twins,Discrete Event Simulation-Driven Method Solving Permutation Flowshop Scheduling Problem in Digital Twins,++,Core tech (4) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"optimization, simulation",digital twin,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85217923815,2025
2025_time_series_methods_and_business_intelligent_tools_for_budget_planning—case_study,Time Series Methods and Business Intelligent Tools for Budget Planning—Case Study,++,Core tech (4) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"forecasting, linear regression, simulation, time series, xgboost","data driven, data-driven, machine learning",Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-85214516293,2025
2025_a_dynamic_scheduling_method_combining_iterative_optimization_and_deep_reinforcement_learning_to_solve_sudden_disturbance_events_in_a_flexible_manufacturing_process,A Dynamic Scheduling Method Combining Iterative Optimization and Deep Reinforcement Learning to Solve Sudden Disturbance Events in a Flexible Manufacturing Process,++,Core tech (3) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"deep q-network, optimization, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85214451694,2025
2025_an_lstm_network-based_genetic_algorithm_for_integrated_procurement_and_scheduling_optimisation,An LSTM network-based genetic algorithm for integrated procurement and scheduling optimisation,++,Core tech (3) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,"genetic algorithm, lstm, recurrent neural network, rnn, supervised learning, tabu search",neural network,Factory,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-85210936972,2025
2025_dynamic_production_scheduling_and_maintenance_planning_under_opportunistic_grouping,Dynamic production scheduling and maintenance planning under opportunistic grouping,++,Core tech (7) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"deep q-network, dqn, genetic algorithm, optimization, particle swarm optimization, reinforcement learning","digital twin, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85210627432,2025
2025_a_hybrid_data-driven_optimization_and_decision-making_approach_for_a_digital_twin_environment:_towards_customizing_production_platforms,A hybrid data-driven optimization and decision-making approach for a digital twin environment: Towards customizing production platforms,++,Core tech (3) + manufacturing (13) + strong decision or scheduling/simulation/robotics signal,"genetic algorithm, optimization, simulation","data-driven, digital twin",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85207321572,2025
2025_diverse_policy_generation_for_the_flexible_job-shop_scheduling_problem_via_deep_reinforcement_learning_with_a_novel_graph_representation,Diverse policy generation for the flexible job-shop scheduling problem via deep reinforcement learning with a novel graph representation,++,Core tech (7) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"graph neural network, markov decision process, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85207040532,2025
2025_a_learning-assisted_bi-population_evolutionary_algorithm_for_distributed_flexible_job-shop_scheduling_with_maintenance_decisions,A Learning-Assisted Bi-Population Evolutionary Algorithm for Distributed Flexible Job-Shop Scheduling With Maintenance Decisions,++,Core tech (3) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"evolutionary algorithm, optimization, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85193261625,2025
2025_a_novel_mixed_integer_programming_model_with_precedence_relation-based_decision_variables_for_non-cyclic_scheduling_of_cluster_tools,A Novel Mixed Integer Programming Model with Precedence Relation-Based Decision Variables for Non-Cyclic Scheduling of Cluster Tools,++,Core tech (2) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,,robot,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85190724792,2025
2025_a_hierarchical_multi-action_deep_reinforcement_learning_method_for_dynamic_distributed_job-shop_scheduling_problem_with_job_arrivals,A Hierarchical Multi-Action Deep Reinforcement Learning Method for Dynamic Distributed Job-Shop Scheduling Problem with Job Arrivals,++,Core tech (8) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,"actor-critic, feature extraction, gnn, graph neural network, markov decision process, mdp, optimization, ppo, reinforcement learning","deep learning, machine learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85189620809,2025
2025_hybrid_task_scheduling_in_cloud_manufacturing_with_sparse-reward_deep_reinforcement_learning,Hybrid Task Scheduling in Cloud Manufacturing With Sparse-Reward Deep Reinforcement Learning,++,Core tech (10) + manufacturing (13) + strong decision or scheduling/simulation/robotics signal,"markov decision process, optimization, reinforcement learning","deep learning, internet of things, iot, machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85187344299,2025
2025_real-time_decision-support_system_for_high-mix_low-volume_production_scheduling_in_industry_4.0,Real-Time Decision-Support System for High-Mix Low-Volume Production Scheduling in Industry 4.0,++,Core tech (9) + manufacturing (13) + strong decision or scheduling/simulation/robotics signal,"forecasting, lstm, time-series","analytics, data-driven, deep learning, machine learning",Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105023694072,2025
2025_navigating_the_fourth_industrial_revolution:_a_comprehensive_review_of_industry_4.0_technologies_and_their_global_adoption,Navigating the Fourth Industrial Revolution: A Comprehensive Review of Industry 4.0 Technologies and Their Global Adoption,++,Core tech (17) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,,"analytics, artificial intelligence, cps, cyber physical system, internet of things, iot",Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105023126264,2025
2025_a_spatiotemporal_graph_neural_network_based_deep_reinforcement_learning_method_for_online_distributed_job-shop_scheduling_problem,A Spatiotemporal Graph Neural Network Based Deep Reinforcement Learning Method for Online Distributed Job-Shop Scheduling Problem,++,Core tech (8) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"actor-critic, gnn, graph neural network, markov decision process, multi-layer perceptron, optimization, q-learning, reinforcement learning, simulation","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105023052710,2025
2025_gart:_graph_neural_network-based_adaptive_and_robust_task_scheduler_for_heterogeneous_distributed_computing,GART: Graph Neural Network-Based Adaptive and Robust Task Scheduler for Heterogeneous Distributed Computing,++,Core tech (4) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"gnn, graph neural network, optimization, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105022622142,2025
2025_smart_reconfigurable_manufacturing_system_based_on_semantic_models_and_multicriteria_decision_making,Smart Reconfigurable Manufacturing System Based on Semantic Models and Multicriteria Decision Making,++,Core tech (4) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,,"analytics, artificial intelligence, iiot",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105021506762,2025
2025_experience_replay-driven_evolutionary_reinforcement_learning_for_dynamic_flexible_flow_shop_scheduling,Experience Replay-Driven Evolutionary Reinforcement Learning for Dynamic Flexible Flow Shop Scheduling,++,Core tech (4) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,"markov decision process, mdp, reinforcement learning","machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105021487476,2025
2025_graph-augmented_deep_reinforcement_learning_for_key_feature_extraction_in_fjsp,Graph-Augmented Deep Reinforcement Learning for Key Feature Extraction in FJSP,++,Core tech (5) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"feature extraction, markov decision process, mdp, optimization, ppo, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105020302891,2025
2025_strategic_decision-making_for_the_job_shop_layout:_ai-trained_metamodel_using_modelling_and_simulation_results,Strategic decision-making for the job shop layout: AI-trained metamodel using modelling and simulation results,++,Core tech (2) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"optimization, simulation",artificial intelligence,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105018632666,2025
2025_research_on_multi-objective_scheduling_optimization_of_flexible_workshop_considering_the_transportation_energy_consumption_of_agv,Research on Multi-objective Scheduling Optimization of Flexible Workshop Considering the Transportation Energy Consumption of AGV,++,Core tech (4) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,optimization,"agv, agvs",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105017778343,2025
2025_a_flexible_job_shop_scheduling_method_via_a_hybrid_dual_attention_network_and_mamba_approach,A Flexible Job Shop Scheduling Method via a Hybrid Dual Attention Network and Mamba Approach,++,Core tech (4) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"feature extraction, reinforcement learning","deep learning, reinforcement learning, robotics",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105017727795,2025
2025_navigating_demand_forecasting_in_make-to-order_manufacturing:_the_role_of_global_models_and_intermittent_time-series,Navigating demand forecasting in make-to-order manufacturing: the role of global models and intermittent time-series,++,Core tech (3) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"forecasting, time series, time-series","deep learning, machine learning",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-105017576764,2025
2025_dynamic_flexible_job_shop_scheduling_problem_considering_multiple_types_of_dynamic_events,Dynamic flexible job shop scheduling problem considering multiple types of dynamic events,++,Core tech (8) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,"deep q-network, dqn, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105014890024,2025
2025_a_multi-agent_deep_reinforcement_learning_framework_for_solving_dynamic_distributed_flexible_job_shop_scheduling_in_industrial_internet_of_things,A Multi-agent Deep Reinforcement Learning Framework for Solving Dynamic Distributed Flexible Job Shop Scheduling in Industrial Internet of Things,++,Core tech (8) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"deep q network, reinforcement learning, simulation","iiot, internet of things, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105012254331,2025
